category,topic
LAWYER/ AUTHORS NOT JOHN GRISHAM,Literature & Philosophy
THAT '80s SHOW,History & Politics
SHARP (& FLAT) INSTRUMENTS,Music & Theater
A HORSE OF A DIFFERENT COLOR,
MARRY LAND,
THE WESTERN HEMISPHERE,
PRO SPORTS TEAMS,Sports & Games
OUR STATE FAIR,
PINS & NEEDLES,
WORDS WITH A DOUBLE L,Word Play
TORAH,Literature & Philosophy
THE EXPLORER,History & Politics
CARIBBEAN CAPITALS,Geography
COMMON BONDS,
KIDDY LIT,Literature & Philosophy
TOUGH TV,TV & Film
NORM DE GUERRE,Word Play
THE OSCARS,TV & Film
THE MAIN ALCOHOLIC INGREDIENT,Food & Culture
STATELY GEOGRAPHY,Geography
TONY WINNERS FOR BEST MUSICAL,Music & Theater
MacARTHUR FOUNDATION FELLOWS,Misc
DOUBLE LETTER 8-LETTER WORDS,Word Play
& FINALLY,
"OFF TO A ""GOOD"" START",Word Play
THE HITTITES,
NEWSPAPER MOGULS,History & Politics
COLORFUL QUOTES,Word Play
3-NAMED ACTRESSES,TV & Film
"WHO, WHAT, WHEN, WHERE, WHY",
BRITISH NOVELS,Literature & Philosophy
THE QUOTABLE MARK TWAIN,Literature & Philosophy
ON THE GEOGRAPHIC MENU,Food & Culture
TAKE ME OUT TO THE BASEBALL MOVIE,TV & Film
LET US GO FOURTH,
HOW ODD,Misc
"""Y U"" LITTLE...",Word Play
HE WAS PRESIDENT WHEN...,History & Politics
2 TONES,
ITALIAN SCIENTISTS,Science & Math
DEVILISH EXPRESSIONS,Word Play
MEDALS & DECORATIONS,History & Politics
"THE ""E"" READER",Word Play
HISTORICAL RELATIVES,History & Politics
REPORTING FROM THE STATE CAPITAL,Geography
ODE TO A TV SHOW,TV & Film
TIME MAGAZINE'S PERSON OF THE YEAR,History & Politics
ANIMAL SIMILES,Word Play
JUST DRIVE!,
FOUND IN GERMANY,Geography
PLAYWRIGHTS,Music & Theater
LATIN AMERICAN HISTORY,History & Politics
MOVIEMAKERS,TV & Film
SURGERY,Science & Math
GRAMMY WINNERS,Music & Theater
"""OB""-SESSIVE",Word Play
GEOGRAPHY,Geography
PEOPLE,Misc
CARDS & DICE,Sports & Games
MEETING PLACES,
THE U N,
ARTISTS,Art & Architecture
DOCTORS,Science & Math
LAWYERS,History & Politics
INDIAN CHIEFS,History & Politics
THE MOVIES,TV & Film
SOUNDS LIKE A TECH BRAND,Word Play
FLAGS OF THE WORLD,Geography
THE 1930s,History & Politics
STONES,
"CROSSWORD CLUES ""S""",Word Play
EX-PATRIOTS,Sports & Games
SOLVE THE MYSTERY TITLE,
NORTH AMERICAN RIVERS,Geography
A LITTLE BIT OF EVERYTHING,Misc
FEMALES IN GREEK MYTH,Literature & Philosophy
"BEGINS WITH A VOWEL & ENDS IN ""I""",Word Play
EX-PATS,Misc
BEATLES SONGS,Music & Theater
TV SHOW SETTINGS,TV & Film
___ THE ___ PEOPLE,
HIGH FANTASY,Literature & Philosophy
MIAMI NICE,
"""SHORT""",Word Play
SWEET,Food & Culture
"MASON, DIXON, & THEIR LINE",History & Politics
SECOND ROCK FROM THE SUN,Science & Math
THEY CO-STARRED WITH LEO DiCAPRIO,TV & Film
POST MASTERS,
AMERICAN ANNUAL EVENTS,Food & Culture
DOUBLE N-DEMNITY,
THE CIVIL WAR,History & Politics
TELEVISION,TV & Film
BRIDGES,Art & Architecture
BIBLICAL GEOGRAPHY,Geography
"COLLEGE CROSSWORD CLUES ""C""",Word Play
ISLANDS,Geography
PHILOSOPHY,Literature & Philosophy
20th CENTURY AMERICANS,History & Politics
AUTHORS,Literature & Philosophy
WHICH U.S. CABINET DEPARTMENT?,History & Politics
RETIRED,
REAL NAMES OF FAKE CHARACTERS,Literature & Philosophy
WATER TRANSPORTATION,Science & Math
THE KING'S ENGLISH,Misc
AROUND THE ARCTIC CIRCLE,Geography
BIBLICAL JEALOUSY,Literature & Philosophy
MUSIC LEGENDS: BORN & DIED,Music & Theater
"STARTS & ENDS WITH ""A""",Word Play
1801-1810,History & Politics
THE QUEENS ENGLISH,Geography
LITERARY TITLE PLACES,Literature & Philosophy
WINONA RYDER FILMS,TV & Film
SOUTH AMERICA,Geography
PIANISTS,Music & Theater
LIBRARIES,Food & Culture
"""SH""",Word Play
WOMEN IN HISTORY,History & Politics
BUSINESS & INDUSTRY,Misc
ROCKS & MINERALS,Science & Math
WORLD LEADERS,History & Politics
CARTOGRAPHY,Science & Math
CLASSIC ADS & JINGLES,Food & Culture
FROM PAGE TO SCREEN,TV & Film
PRESIDENTIAL DEBATERS,History & Politics
"""BOTTOM""",Word Play
OF THE NINTH,
BASES LOADED,
TRAITORS & TURNCOATS,History & Politics
BOOK SERIES,Literature & Philosophy
"POP ""STAR""s",Word Play
RELATIONSHIP ISSUES,
MARINE MAMMALS,Science & Math
PREFIX IN COMMON,Word Play
EUROPEANA,
PRESIDENTS & FIRST LADIES,History & Politics
HERE COMES THE BRIDE,
SHAKESPEAREAN SETTINGS,Literature & Philosophy
ZOOLOGY,Science & Math
INTERNATIONAL CUISINE,Food & Culture
19th CENTURY AMERICANS,History & Politics
WE PUT CHARACTERS ON TRIAL,Literature & Philosophy
IVY LEAGUE ALMA MATERS,History & Politics
TRACK & FIELD,Sports & Games
LOOKING GOOD!,
THINK GLOBAL,
"""ACT"" LOCAL",
WE'RE ON MARS!,
"ABBREVIATION""Z""",
IT WAS THE '60s,
COMPASS POINT MOVIES,
IN THE BOY SCOUT HANDBOOK,
STATE SONG LYRICS,Music & Theater
SCIENCE WORDS,Science & Math
THE OLYMPICS,Sports & Games
ATTIRE,Food & Culture
STATE CAPITALS,Geography
"STARTS WITH ""UM""",Word Play
HISTORIC NAMES,History & Politics
AWARDS,Food & Culture
WORLD GEOGRAPHY,Geography
FICTIONAL WOMEN,Literature & Philosophy
MYTHOLOGICAL WORDS & PHRASES,Literature & Philosophy
PRIMATES,Science & Math
"HELLO, LARRY",
PULITZER-WINNING BIOGRAPHIES,Literature & Philosophy
"ENDS IN ""GH""",Word Play
SCRAMBLED FISH,
COMPACTS,
SUBCOMPACTS,
AN UNFINISHED CATEGORY,Misc
PARTNERS IN CRIME,History & Politics
GERMAN WORDS ON LOAN TO ENGLISH,Languages
"IT''S TIME TO ""BIA"" NATION",
THE 1990s,History & Politics
U.S. STAMPS,Art & Architecture
A LITTLE LATE NIGHT MUSIC,Music & Theater
BUSINESS LETTERS,Misc
"""STAND"" TALL",Word Play
OHIO HISTORY,History & Politics
THE PASSION,
WHERE THE STREETS HAVE THESE NAMES,Geography
1960s TELEVISION,TV & Film
VO-CAB-ULARY,
PHI BETA KAPPA,Misc
ONLY IN MONTHS WITH AN R,Word Play
THE END OF THE STORY,Literature & Philosophy
THE AFI's 100 GREATEST AMERICAN MOVIES,TV & Film
CREATURES AMONG US,
THE AGE OF MAN,
MAJOR LEAGUE BATTING CHAMPS,Sports & Games
QUOTES/ MAGAZINES,Food & Culture
"""I""-PODGE",
I'LL TAKE YOUR CHARACTER,
"""CC"" ME ON THAT",Word Play
OUT WEST IN THE 1850s,History & Politics
LABOR,
UNIQUE PLACES,Geography
MOVIE & TV DOGS,TV & Film
20TH CENTURY AMERICA,History & Politics
MAKEUP,Food & Culture
APRIL FOOLS' DAY,Misc
MEDICINE,Science & Math
LAST NAME'S THE SAME,Word Play
PRIME MINISTERS,History & Politics
THE ELEMENTS,Science & Math
BLACK AMERICA,History & Politics
NOVELS,Literature & Philosophy
LOGOMANIA,
CONSTELLATION TRANSLATION,Languages
"""BLACK"" OR ""WHITE""",Word Play
"A PERSON, PLACE & THING",Misc
IN A MUSICAL MOOD,Music & Theater
BRITISH LITERARY QUOTES,Literature & Philosophy
WHAT'S YOUR BAILEY-WICK?,
NATIONS' LEADERS IN 1900,History & Politics
GEMS,Science & Math
WORD ORIGINS,Languages
WORKING WITH PLATO,Literature & Philosophy
PRESIDENTIAL ELECTIONS,History & Politics
GIRTH OF A NATION,Geography
"THANK ""Q"" VERY MUCH",Word Play
PAPER,Misc
GOOD EATS,Food & Culture
THE U.S. CONSTITUTION,History & Politics
& HERE'S YOUR HOST...,
SHAKESPEAREAN PREQUELS?,
DISNEY MOVIES BY SONG,TV & Film
15 LETTERS OR MORE,Word Play
SOCIOLOGY,Science & Math
BORN IN THE 1400s,History & Politics
"THE ""EL"" YOU SAY",Word Play
STATE MOTTOS,Misc
THE NATIONAL GEOGRAPHIC ATLAS SHRUGGED,Geography
"""AND"" BOOKS FOR SHORT",Literature & Philosophy
"REALITY HITS YOU HARD, BRO",
ACTOR FACTOR,TV & Film
WORDS THAT START WITH PREPOSITIONS,Word Play
CARE FOR SOME WINE?,Food & Culture
20th CENTURY SENATORS,History & Politics
GOOD & BAD MUSIC,Music & Theater
DISEASES NAMED FOR PEOPLE,Science & Math
"YES ""SUR""",Word Play
WHO MAKES THAT?,Misc
PONCE DE LEON & FLORIDA,History & Politics
TRAVEL & TOURISM,Geography
THE 1980s,History & Politics
SWIMMING & DIVING,Sports & Games
DANCE,Music & Theater
JUST DESSERTS,Food & Culture
DOUBLE TALK,Word Play
ENGLISH HISTORY,History & Politics
HOW COLLEGES GOT THEIR NAMES,History & Politics
THE RIVER JORDAN,Geography
FAMOUS SCIENTISTS,Science & Math
MONOGRAMS OF THE FAMOUS & INFAMOUS,History & Politics
IRREGULAR PAST TENSES,Languages
YOU'VE GOT TASTE,Food & Culture
"WORLD ""S""ITIES",Geography
THE ONLY GAME IN TOWN,Sports & Games
AN ODD RHYME,Word Play
CHEMISTRY,Science & Math
HOW COLLEGES GOT THEIR NAMES,History & Politics
LITERARY ANIMALS,Literature & Philosophy
"THE ""WILD"" & ""CRAZY""",Word Play
BENJAMIN HARRISON ADMINISTRATION,History & Politics
BROADWAY MUSICALS,Music & Theater
FICTIONAL BEER,Literature & Philosophy
COMPLETES THE BESTSELLER TITLE,Literature & Philosophy
MANHATTAN PROJECTS,Art & Architecture
DRESSED-DOWN FIRST NAMES,
KING LOUIS,History & Politics
"SOWING ""OTE""s",Word Play
OPERA,Music & Theater
"LET IT ""B""",
SHE DID IT!,
STATES' MOST POPULOUS COUNTIES,Geography
ENGLAND SWINGS,
U.N. ALPHABET SOUP,Word Play
AT THE GROCERY STORE,Food & Culture
GRAPHIC NOVELS,Literature & Philosophy
WHICH RELIGION'S HOLIDAY?,Food & Culture
STATE QUARTERS,Misc
GATES,Misc
ON BASS & VOCALS,Music & Theater
"ENDS IN ""SH""",Word Play
SYNONYMS,Word Play
"""CH""OW",Word Play
EUROPE,Geography
MISNAMED ANIMALS,Science & Math
INSPIRED BRITISH COMEDY,TV & Film
ART,Art & Architecture
BIG CITY SUBURBS,Geography
"""BODY"" LANGUAGE",Word Play
THE JACK LONDON READER,Literature & Philosophy
CATTLE CALL,
DATA STRATA,Misc
PEOPLE MOST BEAUTIFUL COVER GIRLS,
BALLET,Music & Theater
CONFUSING WORD PAIRS,Word Play
PLAYING PRESIDENT,TV & Film
MEXICAN HISTORY,History & Politics
DEFENSE ABBREV.,Misc
PRETTY COLORS,Word Play
THE TONY AWARDS,Music & Theater
1983,History & Politics
HINTS FROM HELOISE,
BOYS TOWN,History & Politics
COMPLETES THE PROVERB,Word Play
INCARCERATED AUTHORS,Literature & Philosophy
SCIENCE & NATURE,Science & Math
WINE,Food & Culture
ACTRESSES,TV & Film
ETHIOPIA,Geography
THE WINTER OLYMPICS,Sports & Games
LIVING SOCIAL,
LINKED IN,
GROUP ON,
"""INSTA""GRAM",
PINTEREST,
WEBSITES,Misc
GOVERNORS,History & Politics
MOVIE GUNS,TV & Film
PROVERBIAL 4-LETTER WORDS,Word Play
RIVER UNDER THE BRIDGE,Geography
GIVING US THE TIME OF DAY,
VLAD THE IMPALA,Misc
19th CENTURY AUTHORS,Literature & Philosophy
NEW ORLEANS,Geography
ACTORS & THEIR ROLES,TV & Film
HORSE SENSE,
GENERAL KNOWLEDGE,Misc
1987,History & Politics
WOMEN IN MYTHOLOGY,Literature & Philosophy
LAKES & RIVERS,Geography
AUTHORS AT WAR,Literature & Philosophy
COMPOUND WORDS,Word Play
FAMOUS MUSICIANS,Music & Theater
DOCTOR! DOCTOR!,TV & Film
YOU NEED A LAB TEST,Science & Math
BLOOD WORK,Literature & Philosophy
CAT SCAN,Word Play
"IT'S THE ""FLU""",Word Play
LOOKS LIKE YOU'RE GONNA MAKE IT,
EUROPEAN GEOGRAPHY,Geography
FAMOUS PAIRS,
"ENDS WITH ""Y""",Word Play
HISTORIC WOMEN,History & Politics
THE CULTURE OF FOOD,Food & Culture
JACKIE ROBINSON,Sports & Games
INSTRUMENT-ATION,Music & Theater
19th CENTURY SPORTS,Sports & Games
"""D"" LICIOUS",Food & Culture
HAWAIIAN CROSSWORD CLUES,Food & Culture
WE'VE GOT YOU SURROUNDED!,
KEEPING UP WITH THE JOANS,History & Politics
MEDICAL PROCEDURES,Science & Math
"""M.C.""",Word Play
ANCIENT BABYLON,History & Politics
MODERN BABBLING,Misc
NOBEL PEACE PRIZE WINNERS,
DR. SEUSS ON THE 11 O'CLOCK NEWS,Word Play
BANKRUPT!,
"ON ""EDGE""",
INTERNATIONAL AFFAIRS,History & Politics
BLENDER SETTINGS,Word Play
AVIATION PIONEERS,History & Politics
BOOKS THAT CHANGED AMERICA,Literature & Philosophy
ON LEAD VOCALS,Music & Theater
WHAT ARE YA...YELLOW?,
SWITZERLAND,Geography
WRITTEN IN THE STARS,
BREAKING BAD,
SHARED COLLEGE SPORTS NICKNAMES,Sports & Games
LAS VEGAS,Geography
QUOTH THE POLITICIAN,History & Politics
AMERICAN NOVELS,Literature & Philosophy
ANIMATED CHARACTERS,TV & Film
IT'S NATIONAL PARK WEEK,Geography
MUSIC & HISTORY,Music & Theater
"""SAFE""",Word Play
SOUND,
BEST ACTRESS OSCAR NOMINEES,TV & Film
TASTE BUDS,Food & Culture
NEWSWORTHY,
STUPID ANSWERS,
BASEBALL BITS,Sports & Games
"I NEED A ""BREAK""",Word Play
LET'S GO TO TAHITI,Geography
20th CENTURY PLAYWRIGHTS,Music & Theater
2-LETTER WORDS,Word Play
"""DE"" BEST PEOPLE",Word Play
ALL-TIME 100 SONGS,Music & Theater
DAUGHTERS IN MYTHOLOGY,Literature & Philosophy
I'D LIKE TO SOLVE THE PUZZLE... FAST!,
GEOGRAPHIC MATH,Geography
I HAVE ISSUES,
ABBREV. TV,TV & Film
AIRLINES,Misc
EUROPEAN LIT,Literature & Philosophy
ELEMENTS IN THE HUMAN BODY,Science & Math
SOUNDS LIKE A CLASSIC ARCADE GAME,Sports & Games
"ROME, IF YOU WANT TO",
ODD WORDS,
ON BROADWAY 1913,Music & Theater
SINGLE NAMED SINGERS,Music & Theater
NATIVE AMERICAN TRIBES,History & Politics
CAVES,Geography
GREAT NOVELS,Literature & Philosophy
LONDON LANDMARKS,Geography
THE EMMYS,TV & Film
FOOD FACTS,Food & Culture
PLUMBING,
NICKNAMES,
HEALTH & MEDICINE,Science & Math
POETRY,Literature & Philosophy
NEW ENGLAND HODGEPODGE,Geography
NAME THE DECADE,History & Politics
'50s FADS & FASHIONS,Food & Culture
NATIONAL PARKS,Geography
FATS & OILS,Science & Math
BIBLICAL ROYALTY,Literature & Philosophy
INSECTS,Science & Math
HERALDRY,
UNOFFICIAL STATE NICKNAMES,Geography
"IN THE ""PINK""",
LEFTOVERS,
TYCOONS,Misc
HOLLYWOOD IN THE '30s,TV & Film
POLITICAL TERMS,History & Politics
AUTHORS' BIRTHPLACES,Literature & Philosophy
HANDICRAFTS,
THE LEAGUE OF NATIONS,History & Politics
NATIONAL HOLIDAYS,Misc
FILMMAKING,TV & Film
"THE BIG ""BOARD""",
CALIFORNIA,Geography
NO ANIMALS WERE HARMED,
SEEKING ASYLUM,
BRITISH LIT,Literature & Philosophy
INTERNET-BUSINESS.COM,
14-LETTER WORDS,Word Play
FAMOUS AMERICANS,History & Politics
COLORFUL SONGS,Music & Theater
SEEKIN ASYLUMS,
HOMOPHONES,Word Play
CELEBS,Food & Culture
QUIRKY NEWS,
CONSTITUTION USA WITH PETER SAGAL,History & Politics
EUROPEAN CITIES,Geography
MOVIE VILLAINS,TV & Film
"I JUST ""ATE""",Word Play
THE OFFICE,
THIS IS HUGE,
THAT'S WHAT CHE SAID,History & Politics
NOTRE DAME,Art & Architecture
EMERSON,Literature & Philosophy
BALL STATE,Sports & Games
GEORGE TOWN,Misc
"YOU SEE ""L.A.""",Word Play
PHYSIOLOGY,Science & Math
4-LETTER CROSSWORD CLUES,Word Play
PEOPLESES,
U.S. VOLCANOES,Geography
MUSIC MAKERS,Music & Theater
MY BROTHER'S IN THE SERVICE,
CHARACTERS IN SHAKESPEARE,Literature & Philosophy
SAINTS,Food & Culture
'50s ROCK LYRICS,Music & Theater
SAY CHEESE,Food & Culture
1991,History & Politics
PLANTS & TREES,Science & Math
MUSIC,Music & Theater
WRITERS,Literature & Philosophy
ECONOMICS,Science & Math
"""G""EOGRAPHY",Geography
PSYCHOLOGY,Science & Math
BAD JOB INTERVIEW RESPONSES,
WEB MUSIC PARODIES,Music & Theater
"YES, THEY WILL",
"""SIN""ONYMS",Word Play
WHAT DEGREE ARE YOU GETTING?,Misc
THE FIRST MILLENNIUM,History & Politics
RECENT TITLE ROLE PLAYING,TV & Film
TRANSPORTATION,Misc
THE BOOK BOOK,Literature & Philosophy
THE J-5,Word Play
FAMOUS ENGLISHMEN,History & Politics
IT'S MAY,
"ENDS IN ""X""",Word Play
"FAST FOOD, FAST",
WHATEVER,
"SOCCER, THE BEAUTIFUL GAME",Sports & Games
"YOU'RE CRAZY, ME DRIVING?",
TV SHOWS BY CHARACTERS,TV & Film
WE HAVE A NEW STATE CAPITAL,Geography
RHYME THIS!,Word Play
COMPOSERS & THEIR MUSIC,Music & Theater
THE ABEL PRIZE,Food & Culture
THE CONTINENTS,Geography
HIGHLY FUNCTIONAL,
TV LOCALES,TV & Film
THE SHORT FORM,
THEY ARE THE CHAMPIONS,Sports & Games
CENTURY OF THE MAN,
INNOVATION,
RIVER RUN,Geography
MAGAZINES,Food & Culture
"""HIT"" ME",Word Play
PORTAIT OF THE ARTIST'S MOTHER,Art & Architecture
FAMOUS NAMES IN TRANSPORTATION,History & Politics
U.S. STATES,Geography
RADIO COMEDY,Literature & Philosophy
HERBS & SPICES,Food & Culture
NOTABLE NAMES,
"""BIG""",Word Play
THE 20TH CENTURY,History & Politics
FAMOUS FIRSTS,History & Politics
"""LITTLE""",Word Play
PHILANTHROPY,Misc
PACK 12,
SAME VOWEL WORDS,Word Play
TALES OF HIGH ADVENTURE,
ALL THE SINGLE LADIES,
THE 2012 TEAM MVP,Sports & Games
YOU DID BAD,
CNN TOURISM,Geography
ALL UP IN YOUR BUSINESS,Misc
SIDEKICKS,
THE 17th CENTURY,History & Politics
2 ANIMALS IN ONE,Word Play
YOU DID GOOD,
AUTHORS IN THE NEWS,Literature & Philosophy
WORLD ATHLETES,Sports & Games
PROFESSORS,Misc
THE CRACKER BARREL,
"""P""ROVERBS",
THE YOGI BEARS,
AMERICA AFTER THE REVOLUTION,History & Politics
NEWSWORDY,Word Play
6-LETTER WORDS,Word Play
BIOLOGY 101,Science & Math
I GOT MAD HIP-HOP SKILLZ,Music & Theater
MODERN-DAY CHINA,Food & Culture
THE OLD TESTAMENT,Literature & Philosophy
1992 FILMS,TV & Film
U.S.A.,Geography
FIRST LADIES,History & Politics
"""A"" ""B"" ""C""s",Word Play
IN THE NEWS,
SCIENTIFIC INSTRUMENTS,Science & Math
ANATOMY,Science & Math
HORROR FILMS,TV & Film
NEBRASKA,Geography
THE VIETNAM WAR,History & Politics
AMERICAN LITERATURE,Literature & Philosophy
CURRENT MONARCHS,History & Politics
PHOBIAS,Word Play
"GEOGRAPHY ""B""",Geography
"""YO"" LO",Word Play
POLITICAL QUOTES,History & Politics
REALITY SHOW TITLES,TV & Film
COLLEGE ACTIVITIES,Misc
POCKET CHANGE,
SOWETO,Geography
NOVELLAS,Literature & Philosophy
TECHIE DROPOUTS,Misc
STUFF ABOUT STATES,Geography
LIVE ENTERTAINMENT,
SCIENCE GUYS,Science & Math
3 CONSECUTIVE LETTERS,Word Play
FAMOUS EUROPEANS,History & Politics
WHERE IS IT?,Geography
SYMBOLS,
SHORT & TWEET,
TECH STUFF,
"YES ""WAY""",
NEW IN OXFORD,
USING ALGEBRA AFTER HIGH SCHOOL,Science & Math
MUSIC OF TODAY,Music & Theater
CLASSIC TOYS,Sports & Games
THEATER,Music & Theater
GETTING MEDIEVAL ON YOU,History & Politics
20th CENTURY PRESIDENTS,History & Politics
15 MINUTES OF FAME,
SOUTHERNMOST POINTS,Geography
11-LETTER WORDS,Word Play
I GOT NO BEEF WITH TOFU,Food & Culture
UNREAL TV NEWSPEOPLE,TV & Film
"IT ""IZ"" WHAT IT IS",Word Play
'60s BOOKS & AUTHORS,Literature & Philosophy
IN THE TOOL CHEST,Misc
20th CENTURY PEOPLE,History & Politics
MEN AT WORK,Misc
FLOWERY PROSE,Science & Math
SOUNDS LIKE A CAR PART,Word Play
SILENT P WORDS,Word Play
URBAN LIT,Literature & Philosophy
MOVIE NAME DROPPERS,TV & Film
"""MEN"" AT WORK",
PSYCH 101,Science & Math
10-MILLION-SELLING ALBUMS,Music & Theater
THE DAYS OF THE STAGECOACH,History & Politics
THE COLD WARS,
National Geographic Bee WINNING QUESTIONS,Geography
FRENCH LITERATURE,Literature & Philosophy
SPORTS BIOGRAPHIES,Sports & Games
5 DIFFERENT VOWELS IN ONE WORD,Word Play
"""HOW""",Word Play
CAN I LIVE WITHOUT YOU?,Misc
SUPREME COURT CASES,History & Politics
THE QUOTABLE DICKENS,Literature & Philosophy
MOVIE COUPLES,TV & Film
AFRICA,Geography
BEHIND BARS,
"GIVE ME A ""C""",
AMERICAN WOMEN,History & Politics
POLAND,Geography
MUSIC TRIVIA,Music & Theater
BABY CARE,Misc
JULY,Misc
TASTY EXPRESSIONS,Word Play
ROYALTY,History & Politics
AUTHOR PUNS,Word Play
WHO ORDERED THE CHINESE FOOD?,Food & Culture
QUOTATIONS IN AMERICAN HISTORY,History & Politics
"MIDDLE ""C""",Word Play
STAR TREK,TV & Film
FEDERATION,History & Politics
CLING-ONS,
ON POSTAGE STAMPS,Art & Architecture
CHARACTERS IN THE BROADWAY PLAY,Music & Theater
"""ART"", FOR ART'S SAKE",Art & Architecture
"IT'S SECRET, DON'T TELL ANYONE",
THE GOLDEN GLOBES: BEST DIRECTOR,TV & Film
CLASSIC KID STUFF,Sports & Games
SOFA'S CHOICE,
IN THE CAPITAL CITY,Geography
"""PARTY"" TIME!",Word Play
TREES THE CHARM,Science & Math
CHARITABLE ORGANIZATIONS,Misc
JOHNNY GILBERT GOES TO THE MOVIES,TV & Film
THE COLOMBIA ENCYCLOPEDIA,Geography
ALPHABETICALLY FIRST,Word Play
"GIMME A ""D""",Word Play
THE NAPOLEONIC ERA,History & Politics
I SAW THAT BOOK ON TV,TV & Film
COMEDY TEAMS?,
AMERICAN SCIENTISTS,Science & Math
FAMOUS NAMES,History & Politics
MANGIA!,
INSTRUMENTAL ROCKERS,Music & Theater
CATS IN PROVERBS,
OFFICIAL STATE STUFF,Misc
CURTAINS,
ROMANCE IN LITERATURE,Literature & Philosophy
MUSEUMS OF THE WORLD,Food & Culture
CALL TRIPLE A,Word Play
ASIAN LANGUAGES,Languages
SEAN PENN,TV & Film
MIGHTIER THAN THE SWORD,
THE 5 W's,Misc
CLOTHING NAME ORIGINS,
HOW 'BOUT THEM DODGERS?,Sports & Games
IT'S GETTING HOT IN HERE,Word Play
ALASKAN AQUATIC LIFE,Science & Math
"THE 5 ""W""s",Misc
IN THEIR 20s,
FLAVOR OF THE MONTH,Word Play
JANE AUSTEN IN POP CULTURE,Literature & Philosophy
GEORGE WASHINGTON,History & Politics
CLIPS,
LISTED ON THE NEW YORK STOCK EXCHANGE,
BODY QUOTES,
WATCH THOSE RATS & MICE,
"THEY'RE AFTER THE ""CHEE""s",
BODIES OF WATER,Geography
SCIENCE IN SPORTS,Science & Math
POLITICAL JARGON,History & Politics
POP HIT MISSING LINKS,Music & Theater
AFRICAN-AMERICAN AUTHORS,Literature & Philosophy
"""GR""8 WORDS",Word Play
ALICE IN WONDERLAND,Literature & Philosophy
WILL THE REAL CHEMICAL ELEMENT PLEASE STAND UP?,Science & Math
EUROPEAN HOLIDAYS,Misc
LIFE OF BRIAN,Word Play
TIME FOR SOME HAIR CARE,Misc
"SPLIT ""N""s",Word Play
CARNY ART,Art & Architecture
DRINKS,Food & Culture
4-LETTER COUNTRY NAMES,Geography
"SAME ROLE, SAME FILM",TV & Film
WORLD WAR II,History & Politics
"THE END ""ZONE""",Word Play
AMERICAN WRITERS,Literature & Philosophy
SHAKESPEAREAN CHARACTERS,Literature & Philosophy
HOLIDAY FOOD & DRINK,Food & Culture
FILMS OF THE '90s,TV & Film
ODD JOBS,Misc
FORMER PLACE NAMES,Geography
MEDICATIONS,Science & Math
1812,History & Politics
WORLD RELIGIONS,Food & Culture
PULITZER PRIZE POETS,Literature & Philosophy
BOB DYLAN SONGS,Music & Theater
ASIA,Geography
PEOPLE & PLACES,Geography
FRUITS & VEGETABLES,Food & Culture
THE HUMAN BODY,Science & Math
FRATERNAL SOCIETIES,Misc
"""M""YTHOLOGY",Literature & Philosophy
EXPLORERS & EXPLORATION,History & Politics
TV ACTORS & ROLES,TV & Film
SPORTS FIGURES,Sports & Games
OPERA PREMIERES,Music & Theater
A BUNCH OF BOOKS,Literature & Philosophy
AMERICAN FOOD & DRINK,Food & Culture
THEIR MIDDLE INITIAL,Misc
NATIONAL HISTORICAL PARKS,Geography
LEGENDS OF ROCK,Music & Theater
AN UNFINISHED CATEG,
EGRETS ONLY,
AROUND THE WORLD,Geography
MOVIES BY COUPLE,TV & Film
THE REFORMATION,History & Politics
"WHAT A ""FUN"" TIME",Word Play
20th CENTURY HISTORY,History & Politics
HAVING FUN AROUND THE WORLD,Geography
WEIRD HISTORY,History & Politics
"""U"" KNOW IT",Word Play
I HAVE A PARTICULAR SET OF SKILLS,Misc
A NIGHTMARE FOR PEOPLE LIKE YOU,
LIAM NEESON,TV & Film
APOLLO 11,Science & Math
YOU SIX-Y THING,
AUTHORS: BORN & DIED,Literature & Philosophy
A CASE OF A_D_D,Word Play
TV TIME,TV & Film
VIOLIN MUSIC,Music & Theater
THE UNITED NATIONS,History & Politics
WHERE ARE YOU FROM?,Geography
IN THE SPORTS MOVIE'S CAST,TV & Film
BLANK VERSE,Literature & Philosophy
GOV.,
2 Js,
ASTRONOMERS,
"""PAN"" HANDLING",
PAINTING & SCULPTURE,Art & Architecture
RELATIVE-ITY,
ARTIFICIAL,
INTELLIGENCE,
WAR NOVELS,Literature & Philosophy
RHYME BOSS,Word Play
A BIBLICAL ANATOMY LESSON,
99,
APPOINTEES TO THE COURT,
GEOGRAPHIC FOODS,Food & Culture
THE WALT DISNEY FAMILY MUSEUM,
CRIME BOSS,
AUSTRALIAN CAPITALS,Geography
ALBUM COVERS,
YOU SAY TOMATO,
LITERARY LATE BLOOMERS,
"I SEE A ""GHOST""",
THE U.S. CITY RAINS SUPREME,
THE 1970s,History & Politics
THE INTERNATIONAL WOMEN'S SPORTS HALL OF FAME,Sports & Games
"IT'S GETTING ""LATE""",
TIME FOR BED,
KING OF THE HILL,
BUSINESS & FINANCE,
THAT ANIMAL IS SOMETHING ELSE,
NOVEL CHARACTERS,Literature & Philosophy
SONGS GETTING AIRPLAY,Music & Theater
ASIAN RELIGION,Food & Culture
CARTOON CHARACTERS,TV & Film
WOMEN ON ICE,Sports & Games
POLISH,
BOTANY,
CIVIL WARS,History & Politics
NOVEL FILMS,TV & Film
RED STATES,
A FIRST NAME BASIS,
